ad_set,ad,version,ratio,placement,status,file,url
AS_A4_before-after,A4_before-after-v4,Designer set 2,4:5,Feeds + Stories/Reels (default),upload,S3_before-after_v4_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S3_before-after_v4_4x5.jpg
AS_A4_before-after,A4_before-after-v4,Designer set 2,9:16,Stories/Reels — after safe-zone fix,hold — disclaimer in Stories/Reels unsafe zone,S3_before-after_v4_9x16.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S3_before-after_v4_9x16.jpg
AS_A4_before-after,A4_before-after-video,Video,4:5,Feeds + Stories/Reels (default),upload,V6_the-calls_4x5.mp4,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/video/V6_the-calls_4x5.mp4
AS_A4_before-after,A4_before-after-video,Video,9:16,Stories/Reels — after safe-zone fix,hold — disclaimer in Stories/Reels unsafe zone,V6_the-calls_9x16.mp4,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/video/V6_the-calls_9x16.mp4
AS_A5_medical,A5_medical-v3,Designer set 1,16:9,—,not used by Meta,S5_medical_v3_16x9.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S5_medical_v3_16x9.jpg
AS_A5_medical,A5_medical-v3,Designer set 1,1:1,"Right column, Search, Marketplace",upload,S5_medical_v3_1x1.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S5_medical_v3_1x1.jpg
AS_A5_medical,A5_medical-v3,Designer set 1,4:5,Feeds + Stories/Reels (default),upload,S5_medical_v3_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S5_medical_v3_4x5.jpg
AS_A5_medical,A5_medical-v3,Designer set 1,9:16,Stories/Reels — after safe-zone fix,hold — disclaimer in Stories/Reels unsafe zone,S5_medical_v3_9x16.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S5_medical_v3_9x16.jpg
AS_A5_medical,A5_medical-light,Light style,16:9,—,not used by Meta,S5_medical_light_16x9.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S5_medical_light_16x9.jpg
AS_A5_medical,A5_medical-light,Light style,1:1,"Right column, Search, Marketplace",upload,S5_medical_light_1x1.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S5_medical_light_1x1.jpg
AS_A5_medical,A5_medical-light,Light style,4:5,Feeds + Stories/Reels (default),upload,S5_medical_light_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S5_medical_light_4x5.jpg
AS_A5_medical,A5_medical-light,Light style,9:16,Stories/Reels — after safe-zone fix,hold — disclaimer in Stories/Reels unsafe zone,S5_medical_light_9x16.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S5_medical_light_9x16.jpg
AS_A5_medical,A5_medical-v4,Designer set 2,16:9,—,not used by Meta,S5_medical_v4_16x9.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S5_medical_v4_16x9.jpg
